Línea 1: FUNCTION -> fn
Línea 1: IDENTIFICADOR -> main
Línea 1: PAREN_IZQ -> (
Línea 1: PAREN_DER -> )
Línea 1: LLAVE_IZQ -> {
Línea 2: IF -> if
Línea 2: NUMERO -> 5
Línea 2: MAYOR -> >
Línea 2: NUMERO -> 3
Línea 2: LLAVE_IZQ -> {
Línea 3: IDENTIFICADOR -> println
Línea 3: NOT -> !
Línea 3: PAREN_IZQ -> (
Línea 3: CADENA -> "5 es mayor que 3"
Línea 3: PAREN_DER -> )
Línea 3: PUNTOCOMA -> ;
Línea 4: LLAVE_DER -> }
Línea 5: IF -> if
Línea 5: NUMERO -> 5
Línea 5: MENOR -> <
Línea 5: NUMERO -> 3
Línea 5: LLAVE_IZQ -> {
Línea 6: IDENTIFICADOR -> println
Línea 6: NOT -> !
Línea 6: PAREN_IZQ -> (
Línea 6: CADENA -> "5 es menor que 3"
Línea 6: PAREN_DER -> )
Línea 6: PUNTOCOMA -> ;
Línea 7: LLAVE_DER -> }
Línea 8: IF -> if
Línea 8: NUMERO -> 5
Línea 8: MAYOR_IGUAL -> >=
Línea 8: NUMERO -> 5
Línea 8: LLAVE_IZQ -> {
Línea 9: IDENTIFICADOR -> println
Línea 9: NOT -> !
Línea 9: PAREN_IZQ -> (
Línea 9: CADENA -> "5 es mayor o igual que 5"
Línea 9: PAREN_DER -> )
Línea 9: PUNTOCOMA -> ;
Línea 10: LLAVE_DER -> }
Línea 11: IF -> if
Línea 11: NUMERO -> 3
Línea 11: MENOR_IGUAL -> <=
Línea 11: NUMERO -> 5
Línea 11: LLAVE_IZQ -> {
Línea 12: IDENTIFICADOR -> println
Línea 12: NOT -> !
Línea 12: PAREN_IZQ -> (
Línea 12: CADENA -> "3 es menor o igual que 5"
Línea 12: PAREN_DER -> )
Línea 12: PUNTOCOMA -> ;
Línea 13: LLAVE_DER -> }
Línea 14: IF -> if
Línea 14: NUMERO -> 5
Línea 14: IGUAL -> ==
Línea 14: NUMERO -> 5
Línea 14: LLAVE_IZQ -> {
Línea 15: IDENTIFICADOR -> println
Línea 15: NOT -> !
Línea 15: PAREN_IZQ -> (
Línea 15: CADENA -> "5 es igual a 5"
Línea 15: PAREN_DER -> )
Línea 15: PUNTOCOMA -> ;
Línea 16: LLAVE_DER -> }
Línea 17: IF -> if
Línea 17: NUMERO -> 5
Línea 17: DIFERENTE -> !=
Línea 17: NUMERO -> 3
Línea 17: LLAVE_IZQ -> {
Línea 18: IDENTIFICADOR -> println
Línea 18: NOT -> !
Línea 18: PAREN_IZQ -> (
Línea 18: CADENA -> "5 es diferente de 3"
Línea 18: PAREN_DER -> )
Línea 18: PUNTOCOMA -> ;
Línea 19: LLAVE_DER -> }
Línea 20: IF -> if
Línea 20: NUMERO -> 5
Línea 20: AND -> &&
Línea 20: NUMERO -> 3
Línea 20: LLAVE_IZQ -> {
Línea 21: IDENTIFICADOR -> println
Línea 21: NOT -> !
Línea 21: PAREN_IZQ -> (
Línea 21: CADENA -> "Operador AND"
Línea 21: PAREN_DER -> )
Línea 21: PUNTOCOMA -> ;
Línea 22: LLAVE_DER -> }
Línea 23: IF -> if
Línea 23: NUMERO -> 5
Línea 23: OR -> ||
Línea 23: NUMERO -> 3
Línea 23: LLAVE_IZQ -> {
Línea 24: IDENTIFICADOR -> println
Línea 24: NOT -> !
Línea 24: PAREN_IZQ -> (
Línea 24: CADENA -> "Operador OR"
Línea 24: PAREN_DER -> )
Línea 24: PUNTOCOMA -> ;
Línea 25: LLAVE_DER -> }
Línea 26: IF -> if
Línea 26: NOT -> !
Línea 26: FALSE -> false
Línea 26: LLAVE_IZQ -> {
Línea 27: IDENTIFICADOR -> println
Línea 27: NOT -> !
Línea 27: PAREN_IZQ -> (
Línea 27: CADENA -> "Operador NOT"
Línea 27: PAREN_DER -> )
Línea 27: PUNTOCOMA -> ;
Línea 28: LLAVE_DER -> }
Línea 31: LLAVE_DER -> }
