Línea 2: FN -> fn
Línea 2: IDENTIFICADOR -> main
Línea 2: PAREN_IZQ -> (
Línea 2: PAREN_DER -> )
Línea 2: LLAVE_IZQ -> {
Línea 6: LET -> let
Línea 6: MUT -> mut
Línea 6: IDENTIFICADOR -> x
Línea 6: DOSPUNTOS -> :
Línea 6: IDENTIFICADOR -> i32
Línea 6: ASIGNACION -> =
Línea 6: ENTERO -> 10
Línea 6: PUNTOCOMA -> ;
Línea 7: LET -> let
Línea 7: IDENTIFICADOR -> y
Línea 7: DOSPUNTOS -> :
Línea 7: IDENTIFICADOR -> f64
Línea 7: ASIGNACION -> =
Línea 7: FLOTANTE -> 20.5
Línea 7: PUNTOCOMA -> ;
Línea 8: LET -> let
Línea 8: IDENTIFICADOR -> z
Línea 8: DOSPUNTOS -> :
Línea 8: IDENTIFICADOR -> i32
Línea 8: ASIGNACION -> =
Línea 8: ENTERO -> 3
Línea 8: PUNTOCOMA -> ;
Línea 9: LET -> let
Línea 9: IDENTIFICADOR -> palabra
Línea 9: DOSPUNTOS -> :
Línea 9: BIT_Y -> &
Línea 9: IDENTIFICADOR -> str
Línea 9: ASIGNACION -> =
Línea 9: CADENA -> "Hola"
Línea 9: PUNTOCOMA -> ;
Línea 10: LET -> let
Línea 10: IDENTIFICADOR -> letra
Línea 10: DOSPUNTOS -> :
Línea 10: IDENTIFICADOR -> char
Línea 10: ASIGNACION -> =
Línea 10: CARACTER -> 'a'
Línea 10: PUNTOCOMA -> ;
Línea 11: LET -> let
Línea 11: IDENTIFICADOR -> verdadero
Línea 11: ASIGNACION -> =
Línea 11: TRUE -> true
Línea 11: PUNTOCOMA -> ;
Línea 12: LET -> let
Línea 12: IDENTIFICADOR -> falso
Línea 12: ASIGNACION -> =
Línea 12: FALSE -> false
Línea 12: PUNTOCOMA -> ;
Línea 15: LET -> let
Línea 15: IDENTIFICADOR -> _suma
Línea 15: ASIGNACION -> =
Línea 15: IDENTIFICADOR -> x
Línea 15: SUMA -> +
Línea 15: IDENTIFICADOR -> z
Línea 15: PUNTOCOMA -> ;
Línea 16: LET -> let
Línea 16: IDENTIFICADOR -> _resta
Línea 16: ASIGNACION -> =
Línea 16: IDENTIFICADOR -> x
Línea 16: RESTA -> -
Línea 16: IDENTIFICADOR -> z
Línea 16: PUNTOCOMA -> ;
Línea 17: LET -> let
Línea 17: IDENTIFICADOR -> _mult
Línea 17: ASIGNACION -> =
Línea 17: IDENTIFICADOR -> x
Línea 17: MULT -> *
Línea 17: IDENTIFICADOR -> z
Línea 17: PUNTOCOMA -> ;
Línea 18: LET -> let
Línea 18: IDENTIFICADOR -> _div
Línea 18: ASIGNACION -> =
Línea 18: IDENTIFICADOR -> x
Línea 18: DIV -> /
Línea 18: IDENTIFICADOR -> z
Línea 18: PUNTOCOMA -> ;
Línea 19: LET -> let
Línea 19: IDENTIFICADOR -> _mod
Línea 19: ASIGNACION -> =
Línea 19: IDENTIFICADOR -> x
Línea 19: MODULO -> %
Línea 19: IDENTIFICADOR -> z
Línea 19: PUNTOCOMA -> ;
Línea 20: LET -> let
Línea 20: IDENTIFICADOR -> _pot_o_xor
Línea 20: ASIGNACION -> =
Línea 20: IDENTIFICADOR -> x
Línea 20: POTENCIA -> ^
Línea 20: IDENTIFICADOR -> z
Línea 20: PUNTOCOMA -> ;
Línea 23: LET -> let
Línea 23: IDENTIFICADOR -> _tupla
Línea 23: ASIGNACION -> =
Línea 23: PAREN_IZQ -> (
Línea 23: IDENTIFICADOR -> x
Línea 23: COMA -> ,
Línea 23: IDENTIFICADOR -> y
Línea 23: COMA -> ,
Línea 23: IDENTIFICADOR -> z
Línea 23: PAREN_DER -> )
Línea 23: PUNTOCOMA -> ;
Línea 24: LET -> let
Línea 24: IDENTIFICADOR -> longitud
Línea 24: ASIGNACION -> =
Línea 24: IDENTIFICADOR -> palabra
Línea 24: PUNTO -> .
Línea 24: IDENTIFICADOR -> len
Línea 24: PAREN_IZQ -> (
Línea 24: PAREN_DER -> )
Línea 24: PUNTOCOMA -> ;
Línea 27: LET -> let
Línea 27: IDENTIFICADOR -> numeros
Línea 27: ASIGNACION -> =
Línea 27: CORCHETE_IZQ -> [
Línea 27: ENTERO -> 1
Línea 27: COMA -> ,
Línea 27: ENTERO -> 2
Línea 27: COMA -> ,
Línea 27: ENTERO -> 3
Línea 27: CORCHETE_DER -> ]
Línea 27: PUNTOCOMA -> ;
Línea 28: LET -> let
Línea 28: IDENTIFICADOR -> primero
Línea 28: ASIGNACION -> =
Línea 28: IDENTIFICADOR -> numeros
Línea 28: CORCHETE_IZQ -> [
Línea 28: ENTERO -> 0
Línea 28: CORCHETE_DER -> ]
Línea 28: PUNTOCOMA -> ;
Línea 31: FOR -> for
